Цена,Наличие,Название
157612,10.05,"Ноутбук Ноутбук G713RM-LL122 17"" R9-6900HX 16 / 512GB ASUS 90NR08K5-M006L0"
117107,ЗАКАЗ,"Ноутбук MSI Stealth 17M A12UE-041RU < 9S7-17R111-041 > Core i5 1240P / 16 / 512SSD / RTX3060 / WiFi / BT / Win11 / 17.3"""
113571,ЗАКАЗ,Ноутбук A10003400122 Ноутбук Colorful X17 AT Core i7 12700H / 16 / SSD512 / 3060 / 17.3 / Win11 / blue (22-HC76016512A-B-RU)
79872,ЗАКАЗ,"Ноутбук Acer Aspire 5 A517-53G-563F < NX.K66ER.006 > (Core i5 1235U, 16 ГБ, 512 ГБ SSD, GeForce®  MX550 (64 бита), WiFi, BT, 17"")"
482142,ЗАКАЗ,"Ноутбук Ноутбук MSI 13VI-213RU 9S7-17Q211-213 2200 МГц 17.3"" 3840 х 2160 64GB DDR5 RTX 4090 16Гб ENG / RUS / да Windows 11 Home чер"
287225,ЗАКАЗ,"Ноутбук Ноутбук MSI Raider 13VH-214RU 9S7-17S111-214 i7-13700HX 2100 МГц 17.3"" 2560x1600 32Гб DDR5 SSD 1Тб RTX 4080 12GB ENG / RU"
242457,ЗАКАЗ,"Ноутбук Ноутбук MSI Stealth A13VG-014RU 9S7-17P311-014 i7-13700H 2400 МГц 17.3"" 2560x1600 16Гб DDR5 4800 МГц SSD 2Тб RTX 4070 8"
190655,ЗАКАЗ,"Ноутбук Ноутбук MSI B13VGK-441RU 9S7-17L531-441 i7-13700H 2400 МГц 17.3"" 1920x1080 16Гб DDR5 SSD 1Тб RTX 4070 8Гб ENG / RUS / да Wi"
152992,ЗАКАЗ,"Ноутбук Ноутбук MSI C7VF-008RU 9S7-17LN11-008 17.3"" 1920x1080 Ryzen 7 / RAM 16Гб / SSD 1Тб / RTX 4060 8Гб / ENG / RUS / Windows 11 Home / чер"
137715,ЗАКАЗ,"Ноутбук Ноутбук BRAVO 17 C7VE-006RU 17"" R7-7735HS 16 / 512GB W11H MSI 9S7-17LN11-006"
118599,10.05,"Ноутбук Ноутбук BRAVO 17 C7VE-007XRU 17"" R5-7535HS 16 / 512GB DOS MSI 9S7-17LN11-007"
98987,ЗАКАЗ,"Ноутбук G8-DA7NP Hasee 17.3"" i7-12700H / 16GB DDR / SSD512GB / RTX3060 / WiFi / BT / OS DOS / RU KB"
94257,ЗАКАЗ,"Ноутбук Lenovo 17IAU7 < 82RL0021RK > (Intel Core i7 1255U, 16 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 17"")"
82423,ЗАКАЗ,"Ноутбук Lenovo 17IAU7 < 82RL001URU > (Intel Core i5 1235U, 8 ГБ, 512 ГБ SSD, WiFi, BT, Win11, 17"")"
81719,ЗАКАЗ,"Ноутбук Acer Aspire 5 A517-53-743Z < NX.K62ER.004 > (Core i7 1255U, 16 ГБ, 512 ГБ SSD, WiFi, BT, 17"")"
79923,ЗАКАЗ,"Ноутбук Lenovo 17IAU7 < 82RL001VRK > (Intel Core i5 1235U, 16 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 17"")"
75673,ЗАКАЗ,"Ноутбук Lenovo 17IAU7 < 82RL001SRK > (Intel Core i5 1235U, 8 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 17"")"
72410,ЗАКАЗ,"Ноутбук Acer Aspire 5 A517-53-56VY < NX.K62ER.008 > (Core i5 1235U, 16 ГБ, 512 ГБ SSD, WiFi, BT, 17"")"
68644,ЗАКАЗ,"Ноутбук Acer Aspire 3 A317-54-54BQ < NX.K9YER.005 > (Core i5 1235U, 16 ГБ, 512 ГБ SSD, WiFi, BT, 17"")"
66513,ЗАКАЗ,"Ноутбук Acer Aspire 5 A517-53-52D2 < NX.K62ER.00C > (Core i5 1235U, 8 ГБ, 256 ГБ SSD, WiFi, BT, 17"")"
63315,ЗАКАЗ,"Ноутбук Acer Aspire 3 A317-54-54T2 < NX.K9YER.002 > (Core i5 1235U, 8 ГБ, 512 ГБ SSD, WiFi, BT, 17"")"
60972,10.05,"Ноутбук Acer Aspire 5 A517-53-31GR < NX.K62ER.00D > (Core i3 1215U, 8 ГБ, 512 ГБ SSD, WiFi, BT, 17"")"
58838,ЗАКАЗ,"Ноутбук Lenovo 17IAU7 < 82RL001LRK > (Intel Core i3 1215U, 8 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 17"")"
221516,ЗАКАЗ,"Ноутбук Lenovo 16ARH7H < 82RG000JRU > (AMD Ryzen 7 6800H, 32 ГБ, 1 ТБ SSD, GeForce®  RTX 3070 (256 бит), WiFi, BT, Win11, 16"")"
197098,ЗАКАЗ,"Ноутбук Lenovo 16ARH7H < 82RG000NRK > (AMD Ryzen 7 6800H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3070 (256 бит), WiFi, BT, noOS, 16"")"
170189,05.05,"Ноутбук Lenovo ThinkBook 16p G2 ACH < 20YM003CRU > (AMD Ryzen 7 5800H, 16 ГБ, 512 ГБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, Win11Pro, 16"")"
143045,05.05,"Ноутбук HP Victus 16-e0194nw < 4H3Z5EA#AKD > (AMD Ryzen 7 5800H, 16 ГБ, 512 ГБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, noOS, 16"")"
184013,ЗАКАЗ,"Ноутбук Lenovo 16ARH7H < 82RG000MRU > (AMD Ryzen 7 6800H, 32 ГБ, 1 ТБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, Win11, 16"")"
167448,ЗАКАЗ,"Ноутбук Lenovo Legion 5 Pro 16ACH6H (82JQ00X8) 16"" WQXGA IPS 165Hz / Ryzen 7 5800H / 16GB / SSD2TB / GeForce®  RTX 3060 / Win11Home / Grey"
159678,ЗАКАЗ,"Ноутбук Lenovo 16ARH7H < 82RG000QRK > (AMD Ryzen 7 6800H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, noOS, 16"")"
99555,10.05,"Ноутбук Lenovo 16ACH6 < 82JS000DRM > (AMD Ryzen 5 5600H, 8 ГБ, 512 ГБ SSD, GeForce®  RTX 3050 Ti (128 бит), WiFi, BT, noOS, 16"")"
160952,10.05,"Ноутбук ASUS VivoBook Pro M7600QE-L2007W, 16, AMD Ryzen 7 5800H 3.2ГГц, 16ГБ, 1ТБ SSD, NVIDIA GeForce®  RTX 3050 Ti для ноутбуков - 4096 Мб < 90NB0V71-M01910 > (AMD Ryzen 7 5800H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3050 (128 бит), WiFi, BT, Win11, 16"")"
137426,ЗАКАЗ,"Ноутбук Lenovo 16ARH7 < 82SN004ERU > (AMD Ryzen 7 6800H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3050 (128 бит), WiFi, BT, Win11, 16"")"
118092,ЗАКАЗ,"Ноутбук Lenovo 16ARH7 < 82SN004XRK > (AMD Ryzen 7 6800H, 16 ГБ, 512 ГБ SSD, GeForce®  RTX 3050 (128 бит), WiFi, BT, noOS, 16"")"
113675,ЗАКАЗ,"Ноутбук Lenovo 16ACH6 < 82L500UNRK > (AMD Ryzen 5 5600H, 16 ГБ, 512 ГБ SSD, GeForce®  GTX 1650 (128 бит), WiFi, BT, Win11, 16"")"
98490,03.05,"Ноутбук Lenovo IdeaPad 5 Pro 16ACH6 < 82L5002GRK > (AMD Ryzen 5 5600H, 16 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 16"")"
91590,ЗАКАЗ,"Ноутбук ASUS M5602QA-L2117 < 90NB0XW3-M004M0 > (AMD Ryzen 7 5800H, 16 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 16"")"
74187,ЗАКАЗ,"Ноутбук ASUS VivoBook Series 90NB0Y81-M00780 (AMD Ryzen 5 5600H, 16 ГБ, 512 ГБ SSD, WiFi, BT, Win11, 16"")"
69088,ЗАКАЗ,"Ноутбук ASUS M1603QA-MB254 < 90NB0Y82-M00FP0 > (AMD Ryzen 7 5800H, 16 ГБ, 1 ТБ SSD, WiFi, BT, noOS, 16"")"
54973,ЗАКАЗ,"Ноутбук ASUS M1603QA-MB158 < 90NB0Y82-M00FR0 > (AMD Ryzen 5 5600H, 8 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 16"")"
98007,ЗАКАЗ,"Ноутбук Machenike Machcreator 16, 16"", IPS, Intel Core i9 12900H, 512ГБ SSD (Intel Core i9 12900H, 16 ГБ, 512 ГБ SSD, BT, noOS, 16"")"
239934,ЗАКАЗ,"Ноутбук Lenovo 16IAH7H < 82RF00BFRU > (Intel Core i7 12700H, 32 ГБ, 1 ТБ SSD, GeForce®  RTX 3070 (256 бит), WiFi, BT, Win11, 16"")"
216933,ЗАКАЗ,"Ноутбук Lenovo 16IAH7H < 82RF002YRK > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3070 (256 бит), WiFi, BT, noOS, 16"")"
199690,ЗАКАЗ,"Ноутбук MSI Creator B12UGST-027RU < 9S7-15G121-027 > (Intel Core i7 12700H, 32 ГБ, 1 ТБ SSD, GeForce®  RTX 3070 (256 бит), WiFi, BT, Win11, 16"")"
174513,ЗАКАЗ,"Ноутбук Lenovo 16IAH7H < 82RF0037RU > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, Win11, 16"")"
168910,10.05,"Ноутбук MSI Creator A12UET-063RU < 9S7-157211-063 > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, Win11, 16"")"
159678,ЗАКАЗ,"Ноутбук Lenovo 16IAH7H < 82RF0030RK > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, noOS, 16"")"
240468,10.05,"Ноутбук MSI Creator A12UKS-1072RU < 9S7-158372-1072 > (Intel Core i7 12700H, 32 ГБ, 1 ТБ SSD, NVIDIA RTX A3000 (192 бит), WiFi, BT, Win11Pro, 16"")"
99840,05.05,"Ноутбук Machenike Machcreator-16 MC-16i712700HQ120HGM00RU < MC-16i712700HQ120HGM00RU > (Intel Core i7 12700H, 16 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 16"")"
186930,ЗАКАЗ,"Ноутбук Lenovo 7 Pro 16IAH7 < 82VA002TRU > (Intel Core i7 12700H, 32 ГБ, 1 ТБ SSD, Intel Arc A370M, Win11, 16"")"
168484,ЗАКАЗ,"Ноутбук Ноутбук MSI Creator B12VE-810RU 9S7-158531-810 i7-12650H 2300 МГц 16"" 1920x1080 16Гб DDR5 SSD 1Тб RTX 4050 6Гб ENG / RUS /"
144177,ЗАКАЗ,"Ноутбук Lenovo 16IAH7 < 82SK0033RU > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, Intel Arc A370M, Win11, 16"")"
128676,ЗАКАЗ,"Ноутбук Lenovo 16IAH7 < 82SK0034RK > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, Intel Arc A370M, noOS, 16"")"
